name,description,startDate(yyyy-MM-dd HH:mm),endDate(yyyy-MM-dd HH:mm),timezone,comment
元旦假期（第1天/共1天）,元旦假期共1天,2024-01-01 00:00,2024-01-01 23:59,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
春节假期（第1天/共8天）,春节假期共8天,2024-02-10 00:00,2024-02-10 23:59,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
春节假期（第2天/共8天）,春节假期共8天,2024-02-11 00:00,2024-02-11 23:59,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
春节假期（第3天/共8天）,春节假期共8天,2024-02-12 00:00,2024-02-12 23:59,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
春节假期（第4天/共8天）,春节假期共8天,2024-02-13 00:00,2024-02-13 23:59,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
春节假期（第5天/共8天）,春节假期共8天,2024-02-14 00:00,2024-02-14 23:59,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
春节假期（第6天/共8天）,春节假期共8天,2024-02-15 00:00,2024-02-15 23:59,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
春节假期（第7天/共8天）,春节假期共8天,2024-02-16 00:00,2024-02-16 23:59,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
春节假期（第8天/共8天）,春节假期共8天,2024-02-17 00:00,2024-02-17 23:59,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
春节假期补班（第1天/共2天）,春节假期补班共2天,2024-02-04 10:00,2024-02-04 18:30,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
春节假期补班（第2天/共2天）,春节假期补班共2天,2024-02-18 10:00,2024-02-18 18:30,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
清明假期（第1天/共3天）,清明假期共3天,2024-04-04 00:00,2024-04-04 23:59,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
清明假期（第2天/共3天）,清明假期共3天,2024-04-05 00:00,2024-04-05 23:59,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
清明假期（第3天/共3天）,清明假期共3天,2024-04-06 00:00,2024-04-06 23:59,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
清明假期补班（第1天/共1天）,清明假期补班共1天,2024-04-07 10:00,2024-04-07 18:30,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
劳动节假期（第1天/共5天）,劳动节假期共5天,2024-05-01 00:00,2024-05-01 23:59,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
劳动节假期（第2天/共5天）,劳动节假期共5天,2024-05-02 00:00,2024-05-02 23:59,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
劳动节假期（第3天/共5天）,劳动节假期共5天,2024-05-03 00:00,2024-05-03 23:59,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
劳动节假期（第4天/共5天）,劳动节假期共5天,2024-05-04 00:00,2024-05-04 23:59,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
劳动节假期（第5天/共5天）,劳动节假期共5天,2024-05-05 00:00,2024-05-05 23:59,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
劳动节假期补班（第1天/共2天）,劳动节假期共5天,2024-04-28 10:00,2024-04-28 18:30,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
劳动节假期补班（第2天/共2天）,劳动节假期共5天,2024-05-11 10:00,2024-05-11 18:30,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
端午节假期（第1天/共1天）,端午节假期共1天,2024-06-10 00:00,2024-06-10 23:59,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
中秋节假期（第1天/共3天）,中秋节假期共3天,2024-09-15 00:00,2024-09-15 23:59,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
中秋节假期（第2天/共3天）,中秋节假期共3天,2024-09-16 00:00,2024-09-16 23:59,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
中秋节假期（第3天/共3天）,中秋节假期共3天,2024-09-17 00:00,2024-09-17 23:59,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
中秋节假期补班（第1天/共1天）,中秋节假期补班共1天,2024-09-14 10:00,2024-09-14 18:30,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
国庆节假期（第1天/共7天）,国庆节假期共7天,2024-10-01 00:00,2024-10-01 23:59,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
国庆节假期（第2天/共7天）,国庆节假期共7天,2024-10-02 00:00,2024-10-02 23:59,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
国庆节假期（第3天/共7天）,国庆节假期共7天,2024-10-03 00:00,2024-10-03 23:59,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
国庆节假期（第4天/共7天）,国庆节假期共7天,2024-10-04 00:00,2024-10-04 23:59,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
国庆节假期（第5天/共7天）,国庆节假期共7天,2024-10-05 00:00,2024-10-05 23:59,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
国庆节假期（第6天/共7天）,国庆节假期共7天,2024-10-06 00:00,2024-10-06 23:59,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
国庆节假期（第7天/共7天）,国庆节假期共7天,2024-10-07 00:00,2024-10-07 23:59,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
国庆节假期补班（第1天/共2天）,国庆节假期共7天,2024-09-29 10:00,2024-09-29 18:30,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm
国庆节假期补班（第2天/共2天）,国庆节假期共7天,2024-10-12 10:00,2024-10-12 18:30,UTC+8,放假通知：https://www.gov.cn/zhengce/content/202310/content_6911527.htm